word,count
prevented,45
mud,45
telegram,45
skill,45
majesty,45
acted,45
rule,45
scenes,45
guests,45
odd,45
coast,45
woe,45
generous,45
principles,45
frequent,45
compliance,45
leading,45
mates,44
admire,44
oars,44
base,44
becoming,44
host,44
divided,44
stayed,44
control,44
sleeping,44
moon,44
contempt,44
pounds,44
older,44
discussion,44
shu,44
east,44
required,44
mihailov,44
commander,44
roubles,44
scattered,44
square,44
stronger,44
landlord,44
creation,44
races,44
ahead,44
mission,44
commission,44
throwing,44
veil,44
commentators,44
seamen,44
humored,44
season,44
frou,44
fetch,44
pieces,44
stands,44
throat,44
forces,44
behold,44
conclusion,44
intervals,44
cheek,44
disturbed,44
hatred,44
favourite,44
mood,44
longing,44
calls,44
decide,44
located,43
fortnight,43
served,43
reflection,43
civil,43
hid,43
serene,43
parties,43
clean,43
demand,43
heavily,43
shirt,43
teach,43
trembling,43
stuff,43
struggle,43
shouldn,43
heat,43
hunter,43
fro,43
raise,43
island,43
strangely,43
substance,43
burn,43
singing,43
personal,43
reality,43
sunshine,43
benefit,43
animal,43
belonged,43
attended,43
leaned,43
intellectual,43
member,43
stricken,43
anguish,43
vague,43
succeed,43
sending,43
philosophy,43
significance,43
karenina,43
crossing,43
dirty,43
admired,43
mei,43
related,43
size,43
consolation,43
bride,43
included,43
fairly,42
artist,42
revealed,42
measures,42
search,42
pleasing,42
proof,42
composed,42
species,42
fifteen,42
wondered,42
ang,42
weakness,42
recollection,42
methods,42
sufferings,42
examined,42
murderer,42
saturday,42
goose,42
timid,42
knee,42
everywhere,42
stage,42
sideways,42
reasonable,42
glory,42
intently,42
flight,42
wicked,42
woods,42
hungry,42
painted,42
prepare,42
request,42
collection,42
distributed,42
rights,42
downstairs,42
describe,42
streets,42
awkward,42
distress,42
rang,42
accounts,42
slightly,42
muttered,42
burned,42
consequently,42
domain,42
cloak,42
accomplished,42
sledge,42
choice,42
foreign,42
chiefly,42
amusement,42
preparing,42
sufficient,41
strain,41
astonished,41
valuable,41
tear,41
ends,41
